State,NAICS,Meaning,Year,Value_D,"Relative standard error for estimate of sales, value of shipments, or revenue (%)",Payroll_D,Relative standard error for estimate of annual payroll (%),FirstQuarter,Relative standard error for estimate of first-quarter payroll (%),Employees_C,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),HoursAnum_T,Relative standard error for estimate of production workers annual hours (%),WagesAnum_D,Relative standard error for estimate of production workers annual wages (%),MaterialCost_D,Relative standard error for estimate of total cost of materials  (%),ValueAdded_D,Relative standard error for estimate of value added (%),ConstantCapital_D,Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Texas,3133,Textile and fabric finishing and fabric coating mills,2021,"202,009",0.9,"26,040",2.3,"6,145",1.1,508,1.2,362,2.0,713,3.1,"14,158",2.6,"147,697",1.7,D,D,D,D,20% to less than 30%,10% to less than 20%,50% to less than 60%
Texas,314,Textile product mills,2021,"985,253",4.8,"212,408",4.2,"51,672",4.9,"4,910",5.3,"3,818",5.6,"7,412",5.9,"134,331",4.6,"411,792",5.5,"585,717",5.8,"19,641",14.0,50% to less than 60%,20% to less than 30%,40% to less than 50%
Texas,3141,Textile furnishings mills,2021,"322,724",12.1,"65,436",9.7,"16,405",10.5,"1,464",15.7,"1,185",15.9,"2,506",14.2,"47,557",10.4,"112,078",17.0,"215,981",12.6,"3,843",24.1,50% to less than 60%,30% to less than 40%,40% to less than 50%
Texas,3149,Other textile product mills,2021,"662,529",4.0,"146,972",4.2,"35,268",5.2,"3,446",3.6,"2,633",3.9,"4,906",5.3,"86,774",4.3,"299,714",4.1,"369,736",5.5,"15,798",16.4,50% to less than 60%,20% to less than 30%,50% to less than 60%
Texas,3314,Nonferrous metal (except aluminum) production and processing,2021,"9,024,189",0.5,"313,568",0.2,"78,895",0.7,"4,179",0.8,"3,138",1.3,"6,852",1.1,"205,871",0.8,"5,603,038",0.4,"3,498,658",0.9,"343,401",1.7,50% to less than 60%,30% to less than 40%,30% to less than 40%
Utah,313,Textile mills,2021,"29,741",0.0,"5,269",0.0,"1,323",0.0,79,0.0,60,0.0,122,0.0,"2,376",0.0,"18,671",0.0,"11,194",0.0,D,D,90% to 100%,40% to less than 50%,90% to 100%
Utah,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,0,X,D,D,D
Utah,3132,Fabric mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Utah,3133,Textile and fabric finishing and fabric coating mills,2021,"27,947",0.0,"4,990",0.0,"1,251",0.0,71,0.0,55,0.0,113,0.0,"2,204",0.0,"17,550",0.0,"10,518",0.0,D,D,90% to 100%,50% to less than 60%,90% to 100%
Utah,314,Textile product mills,2021,"166,859",5.8,"30,739",7.8,"7,655",12.0,560,22.6,422,28.9,734,34.8,"17,919",9.6,D,D,"94,301",5.5,D,D,30% to less than 40%,30% to less than 40%,80% to less than 90%
